"COD_ACTIVIDAD";"DESCRIPCION";"ACTIVO";"COD_GRUPO"
200;REPRESENTACIONES              ;S;
201;REGIONALES                    ;S;
210;RODADOS                       ;S;
215;SANITARIOS                    ;S;
223;SANTERIA                      ;S;
225;SECADERO DE FRUTAS            ;S;
250;PUBLICIDAD MOVIL              ;S;
600;LIM.DE TAPIZADOS Y A.         ;S;
1;ACADEMIA                      ;S;
2;AIRE ACONDICIONADO            ;S;
3;ALQUILER  DE VIDEO            ;S;
4;AVICOLA                       ;S;
5;ARTESANALES                   ;S;
6;AUTOELEVADORES                ;S;
